id	include_in_analysis	exclusion_crit	is_RR	support	support_binary	is_replication	contains_replic	RR_hyp_intro_abstract	RR_hyp_intro_fulltext	hypothesis_quote	result_quote	hyp_from_fulltext	result_from_fulltext	doi	title	authors	year	journal	abstract	keywords	coding_round	combining_coding_notes	uses_AS_coding	coded_by_MS	support_orig_MS	support_revised_MS	evaluation_certainty_MS	hypothesis_MS	hypothesis_introduction_MS	finding_MS	conclusion_MS	hypothesis_from_fulltext_MS	result_from_fulltext_MS	fulltext_available_MS	is_replication_old_MS	is_original_old_MS	time_spent_MS	individual_coding_notes_MS	coded_by_AS	support_orig_AS	support_revised_AS	evaluation_certainty_AS	hypothesis_AS	hypothesis_introduction_AS	finding_AS	conclusion_AS	hypothesis_from_fulltext_AS	result_from_fulltext_AS	fulltext_available_AS	is_replication_old_AS	is_original_old_AS	time_spent_AS	individual_coding_notes_AS	is_replication_new_combining_notes	is_replication_new_coded_by_AS	is_replication_new_AS	replic_notes_AS	is_replication_new_coded_by_DL	is_replication_new_DL	replic_notes_DL	is_replication_special_issue	hypothesis_intro_contains_replic
99	1		0	support	1	0	1			"""Here we tested the hypothesis that epigenetic mechanisms coordinate the gene expression response driven by SD."""	"""These observations, in addition to the fact that DNA methylation is sensitive to neuronal activity,22 regulate the expression of plasticity-related genes,21,23,60,61 and is implicated in cognitive processes and psychiatric diseases,21,40,60, 61, 62 strongly support the hypothesis that changes in epigenetic mechanisms are responsible for the SD-dependent response of the brain transcriptome."""	0	1	10.1038/tp.2013.120	The genome-wide landscape of DNA methylation and hydroxymethylation in response to sleep deprivation impacts on synaptic plasticity genes	Massart, R.; Freyburger, M.; Suderman, M.; Paquet, J.; El Helou, J.; Belanger-Nelson, E.; Rachalski, A.; Koumar, O. C.; Carrier, J.; Szyf, M.; Mongrain, V.	2014	Translational Psychiatry	Sleep is critical for normal brain function and mental health. However, the molecular mechanisms mediating the impact of sleep loss on both cognition and the sleep electroencephalogram remain mostly unknown. Acute sleep loss impacts brain gene expression broadly. These data contributed to current hypotheses regarding the role for sleep in metabolism, synaptic plasticity and neuroprotection. These changes in gene expression likely underlie increased sleep intensity following sleep deprivation (SD). Here we tested the hypothesis that epigenetic mechanisms coordinate the gene expression response driven by SD. We found that SD altered the cortical genome-wide distribution of two major epigenetic marks: DNA methylation and hydroxymethylation. DNA methylation differences were enriched in gene pathways involved in neuritogenesis and synaptic plasticity, whereas large changes (>4000 sites) in hydroxymethylation where observed in genes linked to cytoskeleton, signaling and neurotransmission, which closely matches SD-dependent changes in the transcriptome. Moreover, this epigenetic remodeling applied to elements previously linked to sleep need (for example, Arc and Egr1) and synaptic partners of Neuroligin-1 (Nlgn1; for example, Dlg4, Nrxn1 and Nlgn3), which we recently identified as a regulator of sleep intensity following SD. We show here that Nlgn1 mutant mice display an enhanced slow-wave slope during non-rapid eye movement sleep following SD but this mutation does not affect SD-dependent changes in gene expression, suggesting that the Nlgn pathway acts downstream to mechanisms triggering gene expression changes in SD. These data reveal that acute SD reprograms the epigenetic landscape, providing a unique molecular route by which sleep can impact brain function and health. © 2014 Macmillan Publishers Limited.	Cortical synchrony, DNA methylation and hydroxylation, Sleep need, Transcription	1		0	1	support	support	5	"""Here we tested the hypothesis that epigenetic mechanisms coordinate the gene expression response driven by SD."""	tested the hypothesis		"""These observations, in addition to the fact that DNA methylation is sensitive to neuronal activity,22 regulate the expression of plasticity-related genes,21,23,60,61 and is implicated in cognitive processes and psychiatric diseases,21,40,60, 61, 62 strongly support the hypothesis that changes in epigenetic mechanisms are responsible for the SD-dependent response of the brain transcriptome."""	0	1	1	1	1	1899-12-31T00:06:00Z	"The paper replicated previous observations: ""The impact of SD on genome-wide 5mC and 5hmC profiles was thus examined in the mouse cerebral cortex, for which we first replicated the observation of SD-dependent changes in the expression of genes associated to 5mC (Dnmt3a1, Dnmt3a2 and Mat2b; Supplementary Figure S1B)"""	0											0	1				1	0		1	0		0	0
100	1		0	support	1	0	1			Four experiments, three cross-sectional and one longitudinal, tested the hypothesis that contemplating one’s own death produces a shift toward the use of positive emotion words.	Participants who wrote about their own death, compared with those who wrote about dental pain, uncertainty, and meaningless, used more positive emotions words in their narratives (Experiments 1a and 1b). Experiment 2 found that contemplating one’s own death enhanced positive emotional word use across different mortality salience manipulations and remained consistent over the course of a 6-day study.	0	0	10.1016/j.paid.2014.07.035	More than words: Contemplating death enhances positive emotional word use	Kashdan, Todd B.; DeWall, C. Nathan; Schurtz, David R.; Deckman, Timothy; Lykins, Emily L. B.; Evans, Daniel R.; McKenzie, Jessica; Segerstrom, Suzanne C.; Gailliot, Matthew T.; Brown, Kirk Warren	2014	Personality and Individual Differences	Four experiments, three cross-sectional and one longitudinal, tested the hypothesis that contemplating one's own death produces a shift toward the use of positive emotion words. Participants who wrote about their own death, compared with those who wrote about dental pain, uncertainty, and meaningless, used more positive emotions words in their narratives (Experiments 1a and 1b). Experiment 2 found that contemplating one's own death enhanced positive emotional word use across different mortality salience manipulations and remained consistent over the course of a 6-day study. Experiment 3 showed that the more positive emotion words participants used when contemplating their mortality, the greater worldview defense they showed. These results suggest that word use offers insight into how the mind responds to the salience of mortality. © 2014.	Death, Defensiveness, Positive emotion, Terror management	1	AS' coding prioritised because it was coded from abstract only	1	1	support	support	4	"""Four experiments, three cross-sectional and one longitudinal, tested the hypothesis that contemplating one’s own death produces a shift toward the use of positive emotion words."" AND ""The present work sought to demonstrate that contemplating one’s own death promotes the use of positive emotion words. Grounded in Terror Management Theory (TMT), our first hypothesis was that when mortality is made salient by instructing people to consider their own death, there would be an increase in positive emotion word use in a writing task"""	tested the hypothesis	"""As predicted, mortality salience participants in both experiments used significantly more positive emotion words in their narratives compared with participants in other conditions."""		1	1	1	1	1	1899-12-31T00:04:00Z	"This paper replicates results found in previous studies: ""However, the directionality and effect size replicated results of the three previous studies."""	1	support	support		Four experiments, three cross-sectional and one longitudinal, tested the hypothesis that contemplating one’s own death produces a shift toward the use of positive emotion words.	tested the hypothesis	Participants who wrote about their own death, compared with those who wrote about dental pain, uncertainty, and meaningless, used more positive emotions words in their narratives (Experiments 1a and 1b). Experiment 2 found that contemplating one’s own death enhanced positive emotional word use across different mortality salience manipulations and remained consistent over the course of a 6-day study.		0	0	1	0	1	1899-12-31T00:02:15Z			1	0		0			0	0
101	1		0	partial support	1	0	1			"""Our primary hypothesis is that early focus on beliefs will predict subsequent symptom change among patients with – but not among those without – a PD co-morbidity."""	"""As hypothesized, a significant interaction between PD status and use of CT-Belief techniques emerged in the prediction of depressive and PD symptom change. Among PD patients, higher early CT-Belief interventions were found to predict significantly greater improvement. CT-Belief use did not predict greater symptom change among those without PD."""	1	0	10.1037/ccp0000071	In Cognitive Therapy for Depression, Early Focus on Maladaptive Beliefs May Be Especially Efficacious for Patients With Personality Disorders	Keefe, John R.; Webb, Christian A.; DeRubeis, Robert J.	2016	Journal of Consulting and Clinical Psychology	© 2016 American Psychological Association. Objective: Patients with major depressive disorder (MDD) and a comorbid personality disorder (PD) have been found to exhibit relatively poor outcomes in cognitive therapy (CT) and other treatments. Adaptations of CT focusing heavily on patients' core beliefs have yielded promising findings in the treatment of PD. However, there have been no investigations that have specifically tested whether increased focus on maladaptive beliefs contributes to CT's efficacy for these patients. Method: CT technique use from an early CT session was assessed for 59 patients (33 without PD, 26 with PD-predominantly Cluster C) who participated in a randomized controlled trial for moderate to severe MDD. Scores were calculated for directive CT techniques (CT-Concrete) and a set of belief-focused items (CT-Belief) as rated by the Collaborative Study Process Rating Scale. Robust regressions were conducted to estimate relations between scores on each of these measures and change in depressive and PD symptoms. A PD status by CT-Belief use interaction tested the hypothesis that therapist use of CT-Belief techniques would exhibit a stronger association with symptom change in the PD group relative to the non-PD group. Results: As hypothesized, a significant interaction between PD status and use of CT-Belief techniques emerged in the prediction of depressive and PD symptom change. Among PD patients, higher early CT-Belief interventions were found to predict significantly greater improvement. CT-Belief use did not predict greater symptom change among those without PD. Conclusions: Early focus on CT-Belief interventions may facilitate changes in depression and PD symptoms for patients with MDD-PD comorbidity.	Adherence, Cognitive therapy, Depression, Personality disorders, Psychotherapy process	1		0	1	partial support	partial support	2	"""Our primary hypothesis is that early focus on beliefs will predict subsequent symptom change among patients with – but not among those without – a PD co-morbidity."""	our primary hypothesis is	"""As hypothesized, a significant interaction between PD status and use of CT-Belief techniques emerged in the prediction of depressive and PD symptom change. Among PD patients, higher early CT-Belief interventions were found to predict significantly greater improvement. CT-Belief use did not predict greater symptom change among those without PD."""		1	0	1	0	1	1899-12-31T00:14:00Z	"Only the full text of the preprint version of the paper is freely available, therefore this version of the paper was coded. It is explicitly stated that this version was accepted for publication. In the discussion it is stated that this research should be replicated: ""Future research may seek to replicate these findings "". It is clearly stated that the secondary hypothesis was not supported, but wording is not so clear for the primary hypothesis (which was coded). Based on the abstract it seems to at least be partially supported."	1	support			A PD status by CT-Belief use interaction tested the hypothesis that therapist use of CT-Belief techniques would exhibit a stronger association with symptom change in the PD group relative to the non-PD group.	tested the hypothesis	As hypothesized, a significant interaction between PD status and use of CT-Belief techniques emerged in the prediction of depressive and PD symptom change.		0	0	1	0	1	1899-12-31T00:03:30Z			1	0		1	0		0	0
102	1		0	support	1	0	0			"""We tested the hypothesis that people diagnosed with ADHD during adolescence present residual brain abnormalities both in brain structure and in working memory brain function"""	"""There was lower grey matter volume bilaterally in adolescence ADHD participants in the caudate (p < 0.05 FWE corrected across the whole brain) at age 20–24. Working memory was poorer in adolescence ADHD participants, with associated failure to show normal load-dependent caudate activation. Young adults diagnosed with ADHD in adolescence have structural and functional deficits in the caudate associated with abnormal working memory function. """	0	0	10.1007/s00787-015-0755-8	Brain structural deficits and working memory fMRI dysfunction in young adults who were diagnosed with ADHD in adolescence	Roman-Urrestarazu, Andres; Lindholm, Paivi; Moilanen, Irma; Kiviniemi, Vesa; Miettunen, Jouko; Jaaskelainen, Erika; Maki, Pirjo; Hurtig, Tuula; Ebeling, Hanna; Barnett, Jennifer H.; Nikkinen, Juha; Suckling, John; Jones, Peter B.; Veijola, Juha; Murray, Graham K.	2016	European Child and Adolescent Psychiatry	© 2015, The Author(s).When adolescents with ADHD enter adulthood, some no longer meet disorder diagnostic criteria but it is unknown if biological and cognitive abnormalities persist. We tested the hypothesis that people diagnosed with ADHD during adolescence present residual brain abnormalities both in brain structure and in working memory brain function. 83 young adults (aged 20–24 years) from the Northern Finland 1986 Birth Cohort were classified as diagnosed with ADHD in adolescence (adolescence ADHD, n = 49) or a control group (n = 34). Only one patient had received medication for ADHD. T1-weighted brain scans were acquired and processed in a voxel-based analysis using permutation-based statistics. A sub-sample of both groups (ADHD, n = 21; controls n = 23) also performed a Sternberg working memory task whilst acquiring fMRI data. Areas of structural difference were used as a region of interest to evaluate the implications that structural abnormalities found in the ADHD group might have on working memory function. There was lower grey matter volume bilaterally in adolescence ADHD participants in the caudate (p < 0.05 FWE corrected across the whole brain) at age 20–24. Working memory was poorer in adolescence ADHD participants, with associated failure to show normal load-dependent caudate activation. Young adults diagnosed with ADHD in adolescence have structural and functional deficits in the caudate associated with abnormal working memory function. These findings are not secondary to stimulant treatment, and emphasise the importance of taking a wider perspective on ADHD outcomes than simply whether or not a particular patient meets diagnostic criteria at any given point in time.	ADHD, Hyperkinetic, Memory, MRI, Neuroanatomy, VBM	1		0	1	support	support	4	"""We tested the hypothesis that people diagnosed with ADHD during adolescence present residual brain abnormalities both in brain structure and in working memory brain function"""	tested the hypothesis	"""There was lower grey matter volume bilaterally in adolescence ADHD participants in the caudate (p < 0.05 FWE corrected across the whole brain) at age 20–24. Working memory was poorer in adolescence ADHD participants, with associated failure to show normal load-dependent caudate activation. Young adults diagnosed with ADHD in adolescence have structural and functional deficits in the caudate associated with abnormal working memory function. """		0	0	1	0	1	1899-12-31T00:03:00Z		0																1	0		1	0		0	0
103	1		0	support	1	0	0			"""This study examined whether practice testing with short-answer (SA) items benefits learning over time compared to practice testing with multiple-choice (MC) items, and rereading the material. More specifically, the aim was to test the hypotheses of retrieval effort and transfer appropriate processing by comparing retention tests with respect to practice testing format."" AND ""The following hypotheses were tested in the present study:

Based on testing effect studies providing feedback (e.g. Wiklund-Hörnqvist et al., 2014 Wiklund-Hörnqvist, C., Jonsson, B., & Nyberg, L. (2014). Strengthening concept learning by repeated testing. Scandinavian Journal of Psychology, 55, 10–16. doi:10.1111/sjop.1209310.1111/sjop.2014.55.issue-1
[Crossref], [PubMed], [Web of Science ®], , [Google Scholar]
), we expected that practice testing with feedback (for both MC and SA) would improve participants’ performance on the immediate and delayed retention tests compared to simply rereading the facts. We tested this hypothesis in two ways: first, in the traditional way without correcting for guessing; and second, we corrected for guessing on the MC items in the immediate test."""	"""According to hypothesis one, we expected that practice testing would be more beneficial than restudying with respect to immediate test performances. The hypothesis obtained support, as performance on the SA items in the immediate retention test (mean proportion of items answered correctly in parentheses) was significantly better for the practiced MC (.74) and SA (.87) items than in the initial study (.61), F(2, 94) = 38.07, MSE = .026, p < .001, partial η2 = .42."""	1	1	10.1080/01443410.2014.953037	Effects of repeated testing on short- and long-term memory performance across different test formats	Stenlund, Tova; Sundstrom, Anna; Jonsson, Bert	2016	Educational Psychology	© 2014 Informa UK Limited, trading as Taylor & Francis Group. This study examined whether practice testing with short-answer (SA) items benefits learning over time compared to practice testing with multiple-choice (MC) items, and rereading the material. More specifically, the aim was to test the hypotheses of retrieval effort and transfer appropriate processing by comparing retention tests with respect to practice testing format. To adequately compare SA and MC items, the MC items were corrected for random guessing. With a within-group design, 54 students (mean age = 16 years) first read a short text, and took four practice tests containing all three formats (SA, MC and statements to read) with feedback provided after each part. The results showed that both MC and SA formats improved short- and long-term memory compared to rereading. More importantly, practice testing with SA items is more beneficial for learning and long-term retention, providing support for retrieval effort hypothesis. Using corrections for guessing and educational implications are discussed.	item format, learning, memory, testing effect	1	18-01-2019 - clarified [hypothesis_introduction_ms]	0	1	support	support	5	"""This study examined whether practice testing with short-answer (SA) items benefits learning over time compared to practice testing with multiple-choice (MC) items, and rereading the material. More specifically, the aim was to test the hypotheses of retrieval effort and transfer appropriate processing by comparing retention tests with respect to practice testing format."" AND ""The following hypotheses were tested in the present study:

Based on testing effect studies providing feedback (e.g. Wiklund-Hörnqvist et al., 2014 Wiklund-Hörnqvist, C., Jonsson, B., & Nyberg, L. (2014). Strengthening concept learning by repeated testing. Scandinavian Journal of Psychology, 55, 10–16. doi:10.1111/sjop.1209310.1111/sjop.2014.55.issue-1
[Crossref], [PubMed], [Web of Science ®], , [Google Scholar]
), we expected that practice testing with feedback (for both MC and SA) would improve participants’ performance on the immediate and delayed retention tests compared to simply rereading the facts. We tested this hypothesis in two ways: first, in the traditional way without correcting for guessing; and second, we corrected for guessing on the MC items in the immediate test."""	test the hypotheses [from abstract] AND the following hypotheses were tested [from full text]	"""According to hypothesis one, we expected that practice testing would be more beneficial than restudying with respect to immediate test performances. The hypothesis obtained support, as performance on the SA items in the immediate retention test (mean proportion of items answered correctly in parentheses) was significantly better for the practiced MC (.74) and SA (.87) items than in the initial study (.61), F(2, 94) = 38.07, MSE = .026, p < .001, partial η2 = .42."""		1	1	1	0	1	1899-12-31T00:04:00Z		0																1	0		0			0	0
104	1		0	support	1	0	1			"""Theoretically, the more relevant an event is to the self the more accessible the memory should be. In line with this prediction, the present study tested the hypothesis that self-relevance of a stressor modulates involuntary recall. """	""" In line with predictions, participants in the high self-relevance condition reported more involuntary memories of the film clips after one week compared to participants in the low self-relevance and control conditions. The findings support the theoretical relation between the self and memory accessibility and extend findings from previous research to the domain of involuntary recall."""	0	0	10.1016/j.concog.2013.08.006	The self and involuntary memory: Identifying with the victim increases memory accessibility for stressful events	Krans, Julie	2013	Consciousness and Cognition	Autobiographical memory is intimately linked to the self. However, the relation between the self and involuntary recall has been understudied. Theoretically, the more relevant an event is to the self the more accessible the memory should be. In line with this prediction, the present study tested the hypothesis that self-relevance of a stressor modulates involuntary recall. Healthy student participants viewed distressing film clips and were presented with information that defined the main characters as more or less similar to them, or without any information about the characters. In line with predictions, participants in the high self-relevance condition reported more involuntary memories of the film clips after one week compared to participants in the low self-relevance and control conditions. The findings support the theoretical relation between the self and memory accessibility and extend findings from previous research to the domain of involuntary recall. © 2013 Elsevier Inc.	Emotion regulation, Involuntary memory, PTSD, The self	1		0	1	support	support	2	"""Theoretically, the more relevant an event is to the self the more accessible the memory should be. In line with this prediction, the present study tested the hypothesis that self-relevance of a stressor modulates involuntary recall. """	tested the hypothesis	""" In line with predictions, participants in the high self-relevance condition reported more involuntary memories of the film clips after one week compared to participants in the low self-relevance and control conditions. The findings support the theoretical relation between the self and memory accessibility and extend findings from previous research to the domain of involuntary recall."""		0	0	1	0	1	1899-12-31T00:04:00Z	"The paper states in its discussion section that replication is needed: ""Replication in larger studies is warranted to determine the reliability of these initial findings."""	1	support	support		Theoretically, the more relevant an event is to the self the more accessible the memory should be. In line with this prediction, the present study tested the hypothesis that self-relevance of a stressor modulates involuntary recall.	tested the hypothesis	In line with predictions, participants in the high self-relevance condition reported more involuntary memories of the film clips after one week compared to participants in the low self-relevance and control conditions.		0	0	1	0	1	1899-12-31T00:01:45Z			1	0		0			0	0
105	1		0	partial support	1	0	0			"""This study tested the hypothesis that the presence and characteristics of naturally occurring involuntary imagery would be related to poorer context-dependent spatial memory and higher levels of proneness to psychotic experiences."""	"""Reports of involuntary imagery were associated with greater proneness to psychotic experiences but not with memory. In those participants who reported imagery, however, poorer memory performance was associated with more vivid and detailed intrusive imagery. Poorer contextual memory was specifically associated with a greater sense of “nowness”. """	0	0	10.1080/02699931.2012.683850	Contextual memory, psychosis-proneness, and the experience of intrusive imagery	Glazer, Daniel A.; Mason, Oliver; King, John A.; Brewin, Chris R.	2013	Cognition and Emotion	"This study tested the hypothesis that the presence and characteristics of naturally occurring involuntary imagery would be related to poorer context-dependent spatial memory and higher levels of proneness to psychotic experiences. Poorer contextual memory was also predicted to be associated with a greater sense of ""nowness"". Participants completed a virtual environment task that assessed contextual memory through responses that required allocentric and egocentric processing of virtual stimuli. Two questionnaires assessing predisposition to psychotic experiences were employed. Finally, participants completed an interview that required details of recent, naturally occurring involuntary images. Reports of involuntary imagery were associated with greater proneness to psychotic experiences but not with memory. In those participants who reported imagery, however, poorer memory performance was associated with more vivid and detailed intrusive imagery. Poorer contextual memory was specifically associated with a greater sense of ""nowness"". Possible links between contextual memory and proneness to psychosis are discussed. © 2013 Taylor & Francis."	Imagery, Memory, Psychosis	1		0	1	partial support	partial support	4	"""This study tested the hypothesis that the presence and characteristics of naturally occurring involuntary imagery would be related to poorer context-dependent spatial memory and higher levels of proneness to psychotic experiences."""	tested the hypothesis	"""Reports of involuntary imagery were associated with greater proneness to psychotic experiences but not with memory. In those participants who reported imagery, however, poorer memory performance was associated with more vivid and detailed intrusive imagery. Poorer contextual memory was specifically associated with a greater sense of “nowness”. """		0	0	1	0	1	1899-12-31T00:02:00Z		0																1	0		1	0		0	0
106	1		0	support	1	0	1			"""Two field studies in two Italian primary schools tested the hypothesized positive effect of recess time spent in a natural (vs. built) environment on pupils’ cognitive performance and their perceived restorativeness, using standardized tests. In Study 1, children’s psychological restoration was assessed by measuring sustained and selective attention, working memory, and impulse control, before and after the morning recess time. """	"""Results showed a greater increase in sustained and selective attention, concentration, and perceived restorativeness from pretest to posttest after the natural environment condition"""	0	0	10.3389/fpsyg.2018.01579	Green Breaks: The Restorative Effect of the School Environment's Green Areas on Children's Cognitive Performance	Amicone, Giulia; Petruccelli, Irene; De Dominicis, Stefano; Gherardini, Alessandra; Costantino, Valentina; Perucchini, Paola; Bonaiuto, Marino	2018	Frontiers in Psychology	© 2018 Amicone, Petruccelli, De Dominicis, Gherardini, Costantino, Perucchini and Bonaiuto.Restoration involves individuals' physical, psychological, and social resources, which have diminished over the years in the process of meeting the demands of everyday life. Psychological restoration can be provided by specific environments, in particular by natural environments. Studies report a restorative effect of nature on human beings, specifically in terms of the psychological recovery from attention fatigue and restored mental resources that were previously spent in activities that require attention. Two field studies in two Italian primary schools tested the hypothesized positive effect of recess time spent in a natural (vs. built) environment on pupils' cognitive performance and their perceived restorativeness, using standardized tests. In Study 1, children's psychological restoration was assessed by measuring sustained and selective attention, working memory, and impulse control, before and after the morning recess time. Team standardized playtime was conducted in a natural (vs. built) environment, and the perceived restorativeness was measured after each recess time. Results showed a greater increase in sustained and selective attention, concentration, and perceived restorativeness from pretest to posttest after the natural environment condition. In Study 2, the positive effect of free play recess time in a natural (vs. built) environment was assessed during the afternoon school time on sustained and selective attention and perceived restorativeness. Results showed an increase in sustained and selective attention after the natural environment condition (vs. built) and a decrease after the built environment break. Higher scores in perceived restorativeness were registered after the natural (vs. built) environment condition. Team standardized playtime and individual free play recess in a natural environment (vs. built) support pupils' attention restoration during both morning and afternoon school times, as well as their perceived restorativeness of the recess environment. Theoretical and practical implications are discussed in terms of nature's role both for the school ground design or redesign and for the organization of the school's activities.	Attention, Children, Green areas, Nature, Restoration, School	1		0	1	support	support	4	"""Two field studies in two Italian primary schools tested the hypothesized positive effect of recess time spent in a natural (vs. built) environment on pupils’ cognitive performance and their perceived restorativeness, using standardized tests. In Study 1, children’s psychological restoration was assessed by measuring sustained and selective attention, working memory, and impulse control, before and after the morning recess time. """	tested the hypothesized effect	"""Results showed a greater increase in sustained and selective attention, concentration, and perceived restorativeness from pretest to posttest after the natural environment condition"""		0	0	1	0	1	1899-12-31T00:04:00Z		0																1	0		1	0		0	0
107	1		0	no support	0	0	1			"""We used animal models to test the hypothesis that a hyperdopaminergic state (induced by repeated intermittent injections of amphetamine) or altered glutamate function (subchronic injection of phencyclidine, PCP) facilitates spontaneous acquisition of nicotine self-administration in rats."" AND ""Experiment 1 examined whether heightened mesolimbic DA function, achieved by repeated intermittent injection with amphetamine, enhances acquisition of intravenous nicotine self-administration. We predicted that this hyperdopaminergic state, which commonly occurs in schizophrenia, would facilitate spontaneous acquisition of nicotine self-administration at doses lower than the typical training dose of 30 μg/kg/infusion."""	"""In Experiment 1 animals in an amphetamine-induced sensitized state (AISS) did not differ from saline-injected controls in their acquisition and maintenance of nicotine self-administration."" AND ""However, the results very clearly showed no differences between AISS rats and their control, saline-injected counterparts across a range of schedules of reinforcement and at two different nicotine infusion doses."""	1	1	10.1016/j.schres.2017.02.028	Acquisition of nicotine self-administration in amphetamine and phencyclidine models of schizophrenia: A role for stress?	Fletcher, Paul J.; Li, Zhaoxia; Coen, Kathleen M.; Le, Anh D.	2018	Schizophrenia Research	© 2017 Elsevier B.V.Nicotine use and dependence is very high in patients with schizophrenia. One possible reason is that altered dopamine or glutamate activity in schizophrenia enhances the reinforcing effectiveness of nicotine. We used animal models to test the hypothesis that a hyperdopaminergic state (induced by repeated intermittent injections of amphetamine) or altered glutamate function (subchronic injection of phencyclidine, PCP) facilitates spontaneous acquisition of nicotine self-administration in rats. In Experiment 1 animals in an amphetamine-induced sensitized state (AISS) did not differ from saline-injected controls in their acquisition and maintenance of nicotine self-administration. This effect was replicated in experiment 2, but it was also found that AISS rats and saline-injected controls showed higher rates of nicotine self-administration compared to uninjected controls. This difference was maintained across several fixed ratio and progressive ratio schedules of reinforcement. In Experiment 3 PCP treated rats and their saline-injected controls did not differ in nicotine self-administration. However, both groups showed consistently increased responding for nicotine on FR and PR schedules compared to an uninjected control group. Injection-stress appeared to influence the outcomes of these experiments in two ways. Firstly, injection stress potentially masked the impact of the AISS and PCP treatment on nicotine self-administration. Secondly, injection stress itself may have been sufficient to induce plastic changes in dopamine and glutamate systems, and these changes enhanced the acquisition and maintenance of nicotine self-administration. Further investigation is needed into the role of stress in the development of nicotine use and dependence, in the aetiology of schizophrenia and in their co-morbidity.	Amphetamine, Nicotine, Phencyclidine, Schizophrenia, Stress	1		0	1	no support	no support	5	"""We used animal models to test the hypothesis that a hyperdopaminergic state (induced by repeated intermittent injections of amphetamine) or altered glutamate function (subchronic injection of phencyclidine, PCP) facilitates spontaneous acquisition of nicotine self-administration in rats."" AND ""Experiment 1 examined whether heightened mesolimbic DA function, achieved by repeated intermittent injection with amphetamine, enhances acquisition of intravenous nicotine self-administration. We predicted that this hyperdopaminergic state, which commonly occurs in schizophrenia, would facilitate spontaneous acquisition of nicotine self-administration at doses lower than the typical training dose of 30 μg/kg/infusion."""	we predicted	"""In Experiment 1 animals in an amphetamine-induced sensitized state (AISS) did not differ from saline-injected controls in their acquisition and maintenance of nicotine self-administration."" AND ""However, the results very clearly showed no differences between AISS rats and their control, saline-injected counterparts across a range of schedules of reinforcement and at two different nicotine infusion doses."""		1	1	1	0	1	1899-12-31T00:06:00Z	The discussion most effectively describes the hypotheses and results for each experiment. Only the results of the first experiment were coded, as it was the first hypothesis to show up in the paper.	0																1	0		0			0	0
108	1		0	support	1	0	0			"""Guided by the TMSC, we hypothesized that the relationships between (a) CRC symptoms and perceived economic barriers and (b) AD would be mediated by a set of disengaging/avoidant coping behaviors that we have termed ‘cognitive barriers’."""	"""This study models factors hypothesized to be barriers to patient health care‐seeking for CRC symptoms. Our model supported the hypothesis that cognitive barriers directly influence patient AD."""	1	1	10.1002/pon.3506	Factors associated with delayed patient appraisal of colorectal cancer symptoms	Siminoff, Laura; Thomson, Maria; Dumenci, Levent	2014	Psycho-Oncology	Objective: To evaluate the relationship between symptoms, financial and cognitive barriers with patient delays in seeking evaluation of symptoms. Methods: Data were collected from 252 colorectal cancer patients from academic and community oncology practices in Virginia and Ohio. We used a cross-sectional, mixed methods design collected data through patient interviews and medical record reviews. Structural equation modeling (SEM) tested the hypothesized relationships between symptoms, financial and cognitive barriers and patient care seeking delays. Results: In bivariate analyses, patients who reported a financial barrier to accessing health care (t (246) = -2.6, p < 0.01) were more likely to have greater care-seeking delays. Model testing revealed that experiencing cognitive barriers was a significant, positive, direct predictor of appraisal delay (0.35; p < 0.01). Indirect pathways from symptoms (0.07; p < 0.05) and financial barriers (0.09; p < 0.05) to appraisal delay via cognitive barriers were significant. Conclusions: Patient interpretations of symptoms were influenced by financial barriers. Conceptualizing financial barriers as a component of the symptom appraisal process is conceptually different from viewing it as only a structural barrier preventing healthcare access. Implications for practice These findings extend our understanding of why and how patients seemingly ignore serious symptoms, which hamper physician ability to provide curative therapy. In addition to uninsured patients, this may have important implications for the treatment and care of those who are underinsured. Copyright © 2014 John Wiley & Sons, Ltd.	appraisal delay, cognitive barriers, colorectal cancer, financial barriers	1		0	1	support	support	4	"""Guided by the TMSC, we hypothesized that the relationships between (a) CRC symptoms and perceived economic barriers and (b) AD would be mediated by a set of disengaging/avoidant coping behaviors that we have termed ‘cognitive barriers’."""	we hypothesized		"""This study models factors hypothesized to be barriers to patient health care‐seeking for CRC symptoms. Our model supported the hypothesis that cognitive barriers directly influence patient AD."""	1	1	1	0	1	1899-12-31T00:03:00Z		0																1	0		0			0	0
